Type	Accession	Unique Name
Experiment	ERX2994930	ena-EXPERIMENT-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-69
Experiment	ERX2994931	ena-EXPERIMENT-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-70
Experiment	ERX2994932	ena-EXPERIMENT-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-71
Experiment	ERX2994933	ena-EXPERIMENT-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-72
Experiment	ERX2994934	ena-EXPERIMENT-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-73
Experiment	ERX2994935	ena-EXPERIMENT-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-74
Experiment	ERX2994936	ena-EXPERIMENT-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:526-75
Run	ERR2992453	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-1
Run	ERR2992454	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-2
Run	ERR2992455	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-3
Run	ERR2992456	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-4
Run	ERR2992457	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-5
Run	ERR2992458	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-6
Run	ERR2992459	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-7
Run	ERR2992460	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-8
Run	ERR2992461	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-9
Run	ERR2992462	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-10
Run	ERR2992463	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-11
Run	ERR2992464	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:523-12
Run	ERR2992465	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-13
Run	ERR2992466	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-14
Run	ERR2992467	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-15
Run	ERR2992468	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-16
Run	ERR2992469	ena-RUN-VRIJE UNIVERSITEIT-12-12-2018-17:53:08:524-17
