"B5_0"	"B5_1"	"B5_3"	"B5_4"	"B5_5"	"B5_6"	"B5_7"	"Bott_B5"	"B7_0"	"B7_1"	"B7_2"	"B7_3"	"B7_4"	"B7_5_"	"B7_6"	"B7_7"	"Bott_B7"	"B8_1"	"B8_2"	"B8_3"	"B8_4"	"B8_5"	"B8_6"	"B8_7"	"T1_0"	"T1_1"	"T1_2"	"T1_3"	"T1_4"	"T1_5"	"T1_6"	"T1_7"	"T1_8"	"Bott_T1"	"T3_0"	"T3_1"	"T3_2"	"T3_3"	"T3_5"	"T3_6"	"T3_8"	"Bott_T3"	"T4_0"	"T4_1"	"T4_2"	"T4_3"	"T4_4"	"T4_5"	"T4_6"	"T4_7"	"T4_8"	"9_0"	"A9_0"	"A9_1"	"A9_2"	"A9_3"	"A9_4"	"A9_5"	"A9_6"	"Bott_A9"	"A11_0"	"A11_1"	"A11_2"	"A11_3"	"A11_4"	"A11_5"	"A11_6"	"Bott_A11"	"A12_0"	"A12_1"	"A12_2"	"A12_3"	"A12_4"	"A12_5"	"A12_6"
"Actinosynnema"	5.9425565645122e-05	0.000103494908050524	0	0	0	0	1.96358549228941e-05	0	3.07164221511478e-06	1.43050689466858e-06	3.57806032116176e-05	9.01107543089324e-05	2.35702298568816e-05	0	0	0.000112550214711179	0	2.55657487142559e-05	0	0	0	0	2.82348344599287e-05	2.95250453578509e-06	8.20969965700782e-05	1.39756847930263e-05	3.74832445822452e-06	0	0	7.54319274663584e-05	0	0	0	0	4.05601277108323e-05	5.40072172564491e-05	0	0	3.79149280596294e-05	1.83820764727803e-05	1.73910339194726e-06	0	4.25283724999392e-05	4.60570766928624e-06	0	0	0	3.52977200908446e-06	3.94548729088917e-05	8.94121269279004e-06	5.19459027947452e-06	9.88789544565263e-05	3.19129936445081e-05	6.44205496290021e-06	1.30209068700815e-05	1.76509851693707e-05	1.07564138815286e-05	1.48745689973677e-05	0	5.61121766579658e-06	2.98203149126341e-05	2.25916733174525e-05	2.39735176860847e-05	2.60472253855376e-05	2.75323517068546e-05	3.9064686981144e-05	2.05738931635135e-05	0	4.22223922978732e-05	3.20592968755009e-05	4.18122441296222e-05	3.09544094151579e-05	2.02224548311901e-05	3.34107137503689e-05	7.42332976240241e-06
"Acyrthosiphon"	0.00065559817582683	9.19954738226879e-06	0	0	3.36360125987049e-05	0.000309875555441634	0	0	0.00149742557986846	6.26698258616709e-06	0	0	0	0	0	0	0	0	0	0	0.00011050468013631	5.88461916859526e-05	5.53250134687792e-05	0	4.86806311320062e-05	8.52657940907868e-05	1.10820027460551e-05	1.26923926600922e-05	0	0.000572999336340694	0	7.81650618629275e-05	0	0	0.000629064622232154	1.57685305858246e-05	0	0	2.78409133577955e-05	2.93635767032725e-05	0	0	0.000833859875088094	0	0.000426042111090027	0	0	0	0	0	0	6.90857323713721e-06	3.46044509398281e-06	3.59110297931884e-06	0	0	1.21009656167197e-06	4.15848165517806e-06	1.09769323425798e-05	0	2.90621713131603e-06	1.44818418701619e-06	4.53553037304305e-06	0	0	3.96047517781183e-06	5.61106177186732e-06	0	9.14977350021631e-06	0	1.39957302525932e-06	4.653277232344e-06	4.69682821885706e-06	4.33436286491272e-06	0
"Advenella"	0.000173164820320732	0.000580146456794326	4.70817835579579e-05	8.57455460905176e-05	0	0.000130907546316555	9.07695180397934e-05	0	0.00012363359915837	6.26698258616709e-06	3.37242467052028e-05	5.461257836905e-05	5.97112489707666e-05	1.76602669223201e-05	0	0	0	3.19571858928199e-05	1.03209470501013e-05	0	0	2.29867936273252e-05	2.78532826429026e-05	2.4358162420227e-05	0.000217825196929655	3.48403940092818e-05	7.65961954506749e-06	2.07537771874481e-05	0	0.000336079338805512	1.50241112753532e-05	0.000188999731625221	0	0	0.000235707911979931	0.000248354356726737	4.67430968236508e-06	3.54429246328859e-05	0.000190673623720165	0.000140372220337595	2.91555568649981e-05	0	0.000297698607499575	0	0	0	1.66375835182226e-05	0.00010559901260511	8.72648953749605e-05	7.77496755894786e-06	0	0.000523108529799483	0.000250017158040258	5.2687785696571e-05	6.00844256776049e-05	8.79833722288632e-05	6.48073936362097e-05	6.94146553210492e-05	0.000177826303949793	4.87474534716078e-05	0.000228580295241335	0.000170161641974402	0.000197403560045779	0.000175781981486015	0.000170445946115846	0.000261391361735581	0.000180489153661732	1.95212445594805e-06	0.000252000011818457	0.000176753590106928	0.000260670475954548	0.000168529562371415	0.000128119036414379	0.00022340028599571	5.56749732180181e-05
"Aedes"	2.30034447658537e-05	0	0	0	0	0	0	0	0	2.11170065403456e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86342463907018e-06	3.25941257236914e-06	0	0	1.77070252268447e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76722413807918e-05	0	0	0	0	0	0	0	0	2.56474375004007e-06	0	0	6.52337252619036e-07	0	0
"Aeromonas"	0.000311824473492683	0.000925129483629405	5.70814544021259e-05	0.000121187038474598	3.22905720947567e-05	0.000139146482798016	9.78087867857365e-05	0	0.000225765702810937	2.69071534949565e-05	2.75551771859584e-05	5.73432072875025e-05	2.82842758282579e-05	0.000121098973181623	0	0	0	4.26095811904265e-05	6.38915769768177e-06	4.10775404718208e-05	1.78912339268312e-05	7.26382678623477e-05	0.000167119695857416	5.28990395994829e-05	0.000292496334513495	6.39775792747427e-05	1.84156810338857e-05	2.48702288609915e-05	1.26089317133042e-06	0.000481631086170176	9.25679114062084e-05	0.000248047022939631	2.50428511007724e-06	0	0.000602279632234434	0.00265620897718215	1.37113084016042e-05	8.07459110057476e-05	0.000245622794821077	0.000378861757951979	0.000140151273351044	0	0.000443510170356509	2.76342460157174e-06	5.68056148120036e-05	7.65379053976482e-05	2.98497821944581e-05	0.000148544572048971	0.000246012736961325	5.71460115582668e-05	1.11312648845883e-06	0.000710287685943169	0.0103369262365756	0.00193735893784275	0.000170056181291184	0.000176871923184361	0.000143463670144888	0.000278538300095869	0.0010171957304124	0.00159183231156567	0.0145712672673523	0.00209798443173035	0.00115634426748917	0.000680759687194897	0.000858277299162237	0.000928731429196875	0.000598201530011855	4.63372699806616e-05	0.0132580218018134	0.00109963388282968	0.00163400150699026	0.000669262655851911	0.000521347932293134	0.00136080934112989	0.000196254280593514
"Agaricus"	1.46966452670732e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0627386072884e-05	0.000134731248146104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.22785358395415e-06	1.20617199305366e-06	0	0	0	1.11959121485563e-06	0	0	3.26001747773711e-05	0	4.10357509941991e-06	1.91307305091519e-06	0	2.16025918789736e-06	3.74070784791155e-06	6.47283372235407e-06	1.14372168752704e-06	0	7.69765163892625e-06	0	0	0	0
"Agrobacterium"	0.000200002172547561	0.000545648154110818	0.000194160275557596	0.00031097051382161	0.000192397992064592	0.000280581559063105	0.000621308088786667	0	6.45044865174104e-05	7.56125072896247e-06	0.000682710360129715	0.00160287917513162	0.000743247914820332	0.000276257032570578	0	0.00459291453109849	0	0.000475096830273255	0.000151373890068153	0.000355077044756417	0.00013365804168868	0.000479964250938551	0.00033538404716591	0.000190682584602787	0.000129952532259169	1.69966914048522e-05	8.14853143092286e-06	3.36176886672713e-05	0	9.98676222794041e-05	5.08881188358737e-06	5.80793029322062e-05	0	0	6.88756885655643e-05	5.16419376685754e-05	6.2324129098201e-06	2.13190524107584e-05	3.1870519238529e-05	0.000105279165253196	1.29921253398413e-05	0	5.01227247320712e-05	0	0	0	0	0	4.03832228596892e-05	0	1.35430389429157e-05	0.000550850769204862	0.000491383203345558	0.000105019202395194	5.4436803420702e-05	0.000115410287645885	8.49756696640758e-05	0.000101562917347618	0.000283936649928065	0.000123972840303693	0.000557109188346625	0.000413891040649227	0.000215761659174762	0.000225080402413445	0.000232035657737538	0.000359143089987937	0.00034383339635387	8.01398460862884e-06	0.000426226948885076	0.00022997202292026	0.000311230051492041	0.000228819849990481	0.000139208769708902	0.000325438411773863	0.000432872916770091
"Ailuropoda"	4.85628278390244e-05	1.4374292784795e-05	0	0	0	0	0	0	1.07507477529017e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.75244906229931e-06	0	0	0	4.24968605444273e-06	0	0	0	0	0	0	0	0	0	0	0	0	2.73396680356752e-05	0	1.38992461774051e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88263944312105e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alcaligenes"	0.0001047934706	0.000359357319619875	1.74994239772941e-05	4.34444100191956e-05	1.07635240315856e-05	8.65088330553455e-05	9.63268354708011e-05	0	0.00014743882632551	1.51225014579249e-05	3.57806032116176e-05	0.0001092251567381	2.35702298568816e-05	0	0	0	0	3.62181440118625e-05	0	0	0	3.49399263135343e-05	9.15724360862551e-06	3.27235919382848e-05	8.25095442915359e-05	5.90931480238466e-05	5.05208948717217e-06	5.48860223139124e-06	2.01742907412867e-06	0.00037963862086355	4.24067656965614e-05	3.55735730459763e-05	0	0	0.000474476965673887	0.00118382243373078	4.05106839138307e-06	4.74348916139375e-05	0.000164114857688058	9.28652954274227e-05	3.16107616536295e-05	1.41597263505445e-07	0.000331113757320956	0	0	1.0505202701638e-05	2.78924194276084e-05	5.02992511294535e-05	0.000102582669563119	9.71870944868483e-06	0	0.000367017953222914	0.000177924551915616	5.3537588691677e-05	3.84352070261441e-05	9.21471943713814e-05	7.90596420292351e-05	8.03706550664221e-05	8.56200722721225e-05	5.20791139606745e-05	0.000184860681005015	0.000180009294446112	0.000147080770668682	0.000157534207769593	0.000182381936740205	0.000302976351102605	0.000172696012311916	5.03442622849761e-06	0.000188237527738825	0.000155808182814935	0.000223581790785176	0.000176622218427666	0.000125379219953379	0.000249225864732481	2.4589779837958e-05
"Alcanivorax"	0.000371889023714635	0.000661792439811961	6.208128982421e-05	7.54560805596555e-05	7.80355492289953e-05	0.000156082074454354	0.000236000746903463	0	0.000320986611479495	2.88826153971179e-05	3.70144171154665e-05	0.000111955785656552	0.000238844995883067	6.18109342281202e-05	0	0	0	0.000159785929464099	3.93178935241955e-05	0	0	0.000110336609411161	6.98239825157695e-05	3.93667271438012e-05	0.000358091422225266	0.0001286610012158	3.17792725805992e-05	4.3565780211668e-05	6.58186235434477e-05	0.000413636109299092	6.30043376063198e-05	0.000207633507982637	0	0	0.00104461460991106	0.00090866157500814	1.24648258196402e-05	2.37174458069688e-05	0.000321452650940336	0.000314405126164308	7.94872550319422e-05	0	0.000510340469999271	4.09907982566475e-05	0	3.22659797264595e-05	3.0828463577883e-05	0.000196490641839035	0.000469280900128112	3.49873540152654e-05	0	0.000592733994455006	0.000233676167318672	6.56541346218978e-05	9.27151320508211e-05	0.000102828303345667	7.58327178647765e-05	0.000112678858695113	0.00030808590108174	6.15480437717062e-05	0.000237298946635283	0.000222296272706985	0.000268028247283163	0.00017534050308965	0.00020561733182229	0.00033087969894628	0.000167708401848034	4.21247908915106e-06	0.000288599105819323	0.00023125439479528	0.000330999020473829	0.000241161150476263	0.000160083561792711	0.000320381655098132	0.000128516396511592
